index,timestamp_utc,relative_path,nucleus_x_0based,nucleus_y_0based,downstream_ux,downstream_uy,elongation_deg,antisolar_pa_deg
0,2026-04-21T18:00:29Z,04/21/PUNCH_L2_CTM_20260421180029_v0l.fits,2558.96539061307,2450.08787181823,0.785833027572982,0.618438721924397,14.6658532171645,279.256131047433
1,2026-04-21T18:08:29Z,04/21/PUNCH_L2_CTM_20260421180829_v0l.fits,2558.44162894285,2449.38507161378,0.786049702834442,0.61816329935858,14.6468081269857,279.241511600446
2,2026-04-21T18:16:29Z,04/21/PUNCH_L2_CTM_20260421181629_v0l.fits,2557.91738627332,2448.68211047632,0.786266790921498,0.617887152718042,14.627763974194,279.226846133011
3,2026-04-21T18:24:29Z,04/21/PUNCH_L2_CTM_20260421182429_v0l.fits,2557.39289222733,2447.97859716921,0.786484951189319,0.617609440951751,14.6086978821273,279.2120748691
4,2026-04-21T18:32:29Z,04/21/PUNCH_L2_CTM_20260421183229_v0l.fits,2556.86790177742,2447.27492126619,0.786703106866103,0.617331533008983,14.58963492985,279.197295759155
5,2026-04-21T18:40:29Z,04/21/PUNCH_L2_CTM_20260421184029_v0l.fits,2556.34231075444,2446.57048939078,0.786921942223636,0.617052555984481,14.5705522398753,279.182448961274
6,2026-04-21T18:48:29Z,04/21/PUNCH_L2_CTM_20260421184829_v0l.fits,2555.8166345721,2445.86610660262,0.787141077662584,0.61677299215853,14.5514609642926,279.167563683845
7,2026-04-21T18:56:29Z,04/21/PUNCH_L2_CTM_20260421185629_v0l.fits,2555.29035450501,2445.16096767911,0.787361412767126,0.616491691497424,14.5323573436462,279.152562755089
8,2026-04-21T19:04:29Z,04/21/PUNCH_L2_CTM_20260421190429_v0l.fits,2554.76430765021,2444.45549727424,0.78758213987429,0.616209682617073,14.5132552883766,279.137515106964
9,2026-04-21T19:12:29Z,04/21/PUNCH_L2_CTM_20260421191229_v0l.fits,2554.23725767897,2443.74964192687,0.787803048277335,0.615927233628242,14.4941255665348,279.122445139499
10,2026-04-21T19:20:29Z,04/21/PUNCH_L2_CTM_20260421192029_v0l.fits,2553.71019023345,2443.0438440644,0.788024869192041,0.615643407773418,14.4750042250844,279.107279736051
11,2026-04-21T19:28:29Z,04/21/PUNCH_L2_CTM_20260421192829_v0l.fits,2553.18248731121,2442.33728674308,0.788246960389152,0.615359024827996,14.4558653600973,279.092083866753
12,2026-04-21T19:36:29Z,04/21/PUNCH_L2_CTM_20260421193629_v0l.fits,2552.65455739756,2441.63018103945,0.788469721038097,0.615073572027042,14.4367068155913,279.076818161386
13,2026-04-21T19:44:29Z,04/21/PUNCH_L2_CTM_20260421194429_v0l.fits,2552.12622979362,2440.92292551901,0.788692909688394,0.614787356902575,14.4175492849532,279.061503756091
14,2026-04-21T19:52:29Z,04/21/PUNCH_L2_CTM_20260421195229_v0l.fits,2551.5973095894,2440.21549687273,0.788916444612749,0.614500482847311,14.3983832189464,279.046148916314
15,2026-04-21T20:00:29Z,04/21/PUNCH_L2_CTM_20260421200029_v0l.fits,2551.06839306078,2439.50712882115,0.789141598884439,0.614211312912837,14.3792033372145,279.030637070004
16,2026-04-21T20:08:29Z,04/21/PUNCH_L2_CTM_20260421200829_v0l.fits,2550.53890174311,2438.79900895624,0.789366149262577,0.613922700670346,14.3600090973962,279.015170475495
17,2026-04-21T20:16:29Z,04/21/PUNCH_L2_CTM_20260421201629_v0l.fits,2550.0090955293,2438.09033060421,0.789591566927144,0.613632754534451,14.3408143306379,278.999615659067
18,2026-04-21T20:24:29Z,04/21/PUNCH_L2_CTM_20260421202429_v0l.fits,2549.47898644364,2437.38109529821,0.789817762339584,0.613341586958599,14.3216094931903,278.983980703335
