source,year,identifier,sol,ecl_lon,beta,vg,e,q,inc,peri,node,sunlon,score,orbit_d
CAMS,2011,6282,35.6769,245.07549602997875,6.314034602328382,37.3,0.94129,0.0863,19.78,332.3,35.68,-150.60140397002124,6.222490465089801,0.11430300320852892
CAMS,2011,6421,36.6873,247.61879575188283,7.283900389187171,38.92,0.95462,0.0697,26.85,334.91,36.689,-149.06850424811716,1.3585835042888637,0.041499709313231936
CAMS,2012,57516,37.4107,248.61727235885928,6.698914374721084,37.15,0.9434,0.0754,22.47,334.9,37.414,-148.79342764114074,1.8722988242732814,0.04652795948553695
CAMS,2012,57673,38.3723,248.51257478036845,6.996662942771897,39.82,0.9608,0.0688,26.48,334.33,38.374,-149.8597252196315,4.091968462529497,0.04418235065542803
CAMS,2012,57714,38.4349,249.08133645943025,7.738715536664328,38.19,0.9477,0.0775,26.55,333.76,38.437,-149.35356354056978,0.842574322708564,0.03834792268624541
CAMS,2012,57839,39.4117,248.34145026183546,6.829023886574048,37.31,0.9399,0.0915,20.83,331.21,39.416,-151.07024973816453,4.331579465288677,0.07453510859111845
CAMS,2014,184661,38.7501,247.9991190516344,7.75805774586251,36.87,0.9338,0.096,22.97,330.87,38.748,-150.75098094836562,3.5501067222111278,0.049186559722221274
CAMS,2015,258420,35.7557,245.9372404763576,6.695683796895571,38.5,0.9518,0.0747,23.39,333.95,35.759,-149.8184595236424,2.1777722295858872,0.04458816251283399
CAMS,2016,320515,39.151,248.28285168788022,7.973460253987877,39.24,0.9531,0.0837,27.07,331.52,39.147,-150.86814831211979,6.247484024730182,0.05225743566911456
