source,year,identifier,sol,ecl_lon,beta,vg,e,q,inc,peri,node,sunlon,score,orbit_d
EDMOND,2013,4797,34.798393,246.543793,6.270387,38.193886,0.953652,0.064146,23.458908,336.631073,34.798744,-148.25459999999998,4.791781790890302,0.045389370058881884
EDMOND,2014,7793,39.288082,249.856369,7.340482,37.77375,0.945308,0.078842,24.621737,333.736786,39.288521,-149.431713,0.1104719564129354,0.027365439317099897
EDMOND,2016,1428,35.119793,245.876083,6.632064,40.151093,0.964256,0.061603,26.763119,335.829803,35.119762,-149.24371000000002,5.8665084637939975,0.048968292808489355
EDMOND,2016,9595,37.876171,248.236023,6.111973,36.524609,0.93739,0.08314,19.117397,333.652893,37.876141,-149.640148,4.547082773263929,0.10637518769405774
